"State","YearCode","Amount.of.Hydrogencarbonate","SDP","sdp2","sdp3","Ginni.Index","HDI","MarginOfVictory","percentagePoverty","literacyRate","Poverty_Literacy","Literacy_HDI","log_SDP","log_SDP2","log_SDP3"
"Chhattisgarh",2013,210.126984126984,163494,26730288036,4370241712157784,0.342,0.574,0.085,0.399,0.7404,0.2954196,0.4249896,12.0045315713984,24.0090631427968,36.0135947141951
"Chhattisgarh",2014,147.4375,165354,27341945316,4521100025781864,0.342,0.585,0.176333333333333,0.399,0.703,0.280497,0.411255,12.0158439092271,24.0316878184542,36.0475317276813
"Chhattisgarh",2015,49.2638888888889,168879,28520116641,4816448778215439,0.342,0.595,0.176333333333333,0.399,0.703,0.280497,0.418285,12.0369377611404,24.0738755222808,36.1108132834212
"Chhattisgarh",2016,142.680620155039,187541,35171626681,6596122039381421,0.342,0.605,0.176333333333333,0.399,0.703,0.280497,0.425315,12.1417527671552,24.2835055343104,36.4252583014656
"Chhattisgarh",2017,162.128547854785,194073,37664329329,7309629385867017,0.342,0.611,0.132,0.399,0.703,0.280497,0.429533,12.1759896559264,24.3519793118529,36.5279689677793
"Chhattisgarh",2018,227.871764705882,209211,43769242521,9157006997060930,0.342,0.615,0.162,0.399,0.703,0.280497,0.432345,12.2510985910525,24.502197182105,36.7532957731575
"Delhi",2000,284.666666666667,53177,2827793329,150373565856233,0.236,0.657,0.123,0.082,0.817,0.066994,0.536769,10.8813812510208,21.7627625020415,32.6441437530623
"Delhi",2001,176,55222,3049469284,168397792801048,0.236,0.659,0.123,0.082,0.817,0.066994,0.538403,10.9191167035896,21.8382334071792,32.7573501107687
"Delhi",2002,274.5,59454,3534778116,210156698108664,0.236,0.663,0.123,0.082,0.817,0.066994,0.541671,10.992958183287,21.9859163665739,32.9788745498609
"Delhi",2006,423,117444,13793093136,1619916030264384,0.236,0.692,0.063,0.131,0.817,0.107027,0.565364,11.6737169032138,23.3474338064276,35.0211507096415
"Delhi",2007,84,130683,17078046489,2231810349321987,0.236,0.696,0.063,0.131,0.817,0.107027,0.568632,11.7805298222926,23.5610596445853,35.3415894668779
"Delhi",2008,270,146961,21597535521,3173995417701681,0.236,0.698,0.063,0.131,0.817,0.107027,0.570266,11.8979225244385,23.7958450488771,35.6937675733156
"Delhi",2010,241.666666666667,172235,29664895225,5109333229077875,0.194,0.702,0.245,0.142,0.863,0.122546,0.605826,12.0566151023554,24.1132302047108,36.1698453070662
"Goa",2011,67.4714285714285,38009,1444684081,54910997234729,0.18,0.75,0.034,0.051,0.874,0.044574,0.6555,10.5455782527711,21.0911565055422,31.6367347583134
"Goa",2012,51.9916666666666,32453,1053197209,34179409023677,0.18,0.765,0.034,0.051,0.874,0.044574,0.66861,10.387548167782,20.7750963355639,31.1626445033459
"Goa",2013,49.7332251082251,27971,782376841,21883862619611,0.18,0.761,0.034,0.051,0.874,0.044574,0.665114,10.238923538149,20.4778470762979,30.7167706144469
"Goa",2014,46.1294642857143,36042,1299025764,46819486586088,0.18,0.762,0.1695,0.051,0.887,0.045237,0.675894,10.4924402040782,20.9848804081564,31.4773206122346
"Goa",2015,12,41929,1758041041,73712902808089,0.18,0.758,0.079,0.051,0.887,0.045237,0.672346,10.6437329906078,21.2874659812156,31.9311989718234
"Goa",2017,43.7267857142857,47077,2216243929,104334115445533,0.18,0.761,0.1695,0.051,0.887,0.045237,0.675007,10.7595398380185,21.519079676037,32.2786195140556
"Goa",2018,36.16375,47425,2249130625,106665019890625,0.18,0.764,0.1695,0.051,0.887,0.045237,0.677668,10.7669047948032,21.5338095896064,32.3007143844096
"Gujarat",2000,391.17239976063,86431,7470317761,645667034400991,0.333,0.521,0.155818181818182,0.141,0.691,0.097431,0.360011,11.3671016867364,22.7342033734729,34.1013050602093
"Gujarat",2002,350.941421793694,101603,10323169609,1048865001783227,0.333,0.534,0.155818181818182,0.141,0.691,0.097431,0.368994,11.5288283412496,23.0576566824993,34.5864850237489
"Gujarat",2004,357.509866522367,172265,29675230225,5112003534709625,0.333,0.558,0.115857142857143,0.318,0.691,0.219738,0.385578,12.056789267813,24.113578535626,36.170367803439
"Gujarat",2005,321.613200555425,197270,38915452900,7676851393583000,0.333,0.569,0.107818181818182,0.318,0.691,0.219738,0.393179,12.1923286277379,24.3846572554758,36.5769858832137
"Gujarat",2006,382.962934921615,213954,45776314116,9794025510374664,0.333,0.579,0.107818181818182,0.318,0.691,0.219738,0.400089,12.2735163176272,24.5470326352544,36.8205489528816
"Gujarat",2007,344.648535748057,239253,57241998009,13695319749647278,0.333,0.585,0.107818181818182,0.318,0.691,0.219738,0.404235,12.3852768484215,24.7705536968431,37.1558305452646
"Gujarat",2008,402.198761961384,249480,62240270400,15527702659392000,0.333,0.589,0.107818181818182,0.318,0.691,0.219738,0.406999,12.4271340306401,24.8542680612801,37.2814020919202
"Gujarat",2009,421.067692612461,284732,81072311824,23083881490271168,0.333,0.592,0.0666111111111111,0.23,0.793,0.18239,0.469456,12.5593036659663,25.1186073319327,37.677910997899
"Gujarat",2010,446.949984663348,315892,99787755664,31522153712212288,0.269,0.599,0.0666111111111111,0.23,0.793,0.18239,0.475007,12.6631556619997,25.3263113239995,37.9894669859992
"Gujarat",2011,453.221701730693,532809,283885430481,151256712329151136,0.269,0.611,0.0666111111111111,0.166,0.793,0.131638,0.484523,13.1859182899575,26.3718365799151,39.5577548698726
"Gujarat",2012,420.591994147131,596659,356001962281,212411774812619168,0.269,0.618,0.0666111111111111,0.166,0.793,0.131638,0.490074,13.2991010399043,26.5982020798085,39.8973031197128
"Gujarat",2013,445.821093595086,641489,411508137121,263977943373613184,0.269,0.628,0.0666111111111111,0.166,0.793,0.131638,0.498004,13.3715473155798,26.7430946311596,40.1146419467395
"Gujarat",2014,439.044682441025,705629,497912285641,351341348204573184,0.269,0.642,0.258,0.166,0.78,0.12948,0.50076,13.4668448826034,26.9336897652068,40.4005346478102
"Gujarat",2015,389.226100019785,774775,600276300625,465079070816734400,0.269,0.654,0.258,0.166,0.78,0.12948,0.51012,13.5603279436031,27.1206558872062,40.6809838308092
"Gujarat",2016,438.081318188101,843930,712217844900,601062005846456960,0.269,0.666,0.258,0.166,0.78,0.12948,0.51948,13.6458248317499,27.2916496634998,40.9374744952497
"Gujarat",2017,430.375634539797,946511,895883073121,847963183422830848,0.269,0.662,0.258,0.166,0.78,0.12948,0.51636,13.7605378713284,27.5210757426568,41.2816136139851
"Gujarat",2018,329.433994752113,1034399,1069981291201,1106787577637023232,0.269,0.657,0.258,0.166,0.78,0.12948,0.51246,13.8493311396953,27.6986622793906,41.5479934190859
"Haryana",2000,382.729144148602,51090,2610188100,133354510029000,0.331,0.543,0.20875,0.087,0.579,0.050373,0.314397,10.8413440623248,21.6826881246497,32.5240321869745
"Haryana",2001,315.625,55036,3028961296,166701913886656,0.331,0.548,0.19475,0.087,0.579,0.050373,0.317292,10.9157427955477,21.8314855910954,32.7472283866431
"Haryana",2002,439.932577597841,58410,3411728100,199279038321000,0.331,0.555,0.2014,0.087,0.579,0.050373,0.321345,10.9752423870344,21.9504847740687,32.9257271611031
"Haryana",2004,378.059284666946,86222,7434233284,640994462213048,0.331,0.577,0.178,0.241,0.579,0.139539,0.334083,11.3646806445062,22.7293612890125,34.0940419335187
"Haryana",2005,465.611111111111,94011,8838068121,830875622123331,0.331,0.587,0.179142857142857,0.241,0.579,0.139539,0.339873,11.4511670756823,22.9023341513646,34.3535012270468
"Haryana",2006,406.340282131661,104700,10962090000,1.147730823e+15,0.331,0.596,0.1678,0.241,0.579,0.139539,0.345084,11.5588543968586,23.1177087937173,34.6765631905759
"Haryana",2007,421.929396000825,112896,12745506816,1438916737499136,0.331,0.606,0.179142857142857,0.241,0.579,0.139539,0.350874,11.6342223199264,23.2684446398528,34.9026669597792
"Haryana",2008,467.911363444669,121588,14783641744,1797513432369472,0.331,0.613,0.17925,0.241,0.579,0.139539,0.354927,11.7083935594341,23.4167871188681,35.1251806783022
"Haryana",2009,367.933952427501,136780,18708768400,2558985341752000,0.331,0.618,0.141222222222222,0.201,0.766,0.153966,0.473388,11.8261290746521,23.6522581493042,35.4783872239563
"Haryana",2010,324.466171174504,146053,21331478809,3115526474490877,0.2,0.628,0.141222222222222,0.201,0.766,0.153966,0.481048,11.8917248485156,23.7834496970311,35.6751745455467
"Haryana",2012,278.160222091907,289756,83958539536,24327490581793216,0.2,0.653,0.141222222222222,0.112,0.766,0.085792,0.500198,12.5767944684941,25.1535889369881,37.7303834054822
"Haryana",2013,327.477151836143,314931,99181534761,31235339923816492,0.2,0.663,0.141222222222222,0.112,0.766,0.085792,0.507858,12.6601088461943,25.3202176923886,37.9803265385829
"Haryana",2014,328.692405548454,333359,111128222881,37045593251387280,0.2,0.677,0.186222222222222,0.112,0.756,0.084672,0.511812,12.7169752663318,25.4339505326636,38.1509257989955
"Haryana",2015,384.055683760684,372700,138905290000,5.1770001583e+16,0.2,0.689,0.145166666666667,0.112,0.756,0.084672,0.520884,12.8285290854674,25.6570581709347,38.485587256402
"Haryana",2016,301.346720235342,412055,169789323025,69962539499066376,0.2,0.701,0.186222222222222,0.112,0.756,0.084672,0.529956,12.9289121145676,25.8578242291352,38.7867363437028
"Haryana",2017,374.232002565336,434407,188709441649,81976702418417136,0.2,0.705,0.186222222222222,0.112,0.756,0.084672,0.53298,12.9817371616525,25.963474323305,38.9452114849575
"Haryana",2018,315.892587973488,470328,221208427584,104040517328727552,0.2,0.705,0.186222222222222,0.112,0.756,0.084672,0.53298,13.061185602627,26.122371205254,39.183556807881
"Himachal Pradesh",2000,144.277777777778,13262,175880644,2332529100728,0.277,0.584,0.181,0.076,0.765,0.05814,0.44676,9.49265808192881,18.9853161638576,28.4779742457864
"Himachal Pradesh",2002,121.666666666667,14617,213656689,3123019823113,0.277,0.6,0.2145,0.076,0.765,0.05814,0.459,9.58994051388929,19.1798810277786,28.7698215416679
"Himachal Pradesh",2003,187.555555555556,15596,243235216,3793496428736,0.277,0.617,0.149333333333333,0.076,0.765,0.05814,0.472005,9.65476975010249,19.309539500205,28.9643092503075
"Himachal Pradesh",2004,253.194444444445,21189,448973721,9513304174269,0.277,0.629,0.064,0.229,0.765,0.175185,0.481185,9.96123745807703,19.9224749161541,29.8837123742311
"Himachal Pradesh",2005,201.830917874396,23009,529414081,12181288589729,0.277,0.641,0.0633333333333333,0.229,0.765,0.175185,0.490365,10.0436407227195,20.0872814454391,30.1309221681586
"Himachal Pradesh",2006,152.500427350427,24819,615982761,15288076145259,0.277,0.653,0.0633333333333333,0.229,0.765,0.175185,0.499545,10.1193647678583,20.2387295357166,30.3580943035749
"Himachal Pradesh",2007,210.835497835498,26362,694955044,18320404869928,0.277,0.656,0.0633333333333333,0.229,0.765,0.175185,0.50184,10.1796788582724,20.3593577165448,30.5390365748172
"Himachal Pradesh",2008,221.925523349436,27649,764467201,21136753640449,0.277,0.657,0.0633333333333333,0.229,0.765,0.175185,0.502605,10.2273448399312,20.4546896798624,30.6820345197935
"Himachal Pradesh",2009,240.810185185185,29149,849664201,24766861794949,0.277,0.657,0.0516666666666667,0.095,0.838,0.07961,0.550566,10.2801758858729,20.5603517717457,30.8405276576186
"Himachal Pradesh",2010,183.56884057971,31590,997928100,31524548679000,0.2,0.661,0.0516666666666667,0.095,0.838,0.07961,0.553918,10.3605958937961,20.7211917875923,31.0817876813884
"Himachal Pradesh",2011,191.836296296296,33955,1152942025,39148146458875,0.2,0.67,0.0516666666666667,0.081,0.838,0.067878,0.56146,10.4327913975479,20.8655827950958,31.2983741926437
"Himachal Pradesh",2012,149.263888888889,60536,3664607296,221840667270656,0.2,0.675,0.0516666666666667,0.081,0.838,0.067878,0.56565,11.0109935083744,22.0219870167487,33.0329805251231
"Himachal Pradesh",2013,205.693181818182,64519,4162701361,268573329110359,0.2,0.684,0.0675,0.081,0.838,0.067878,0.573192,11.074715033049,22.149430066098,33.2241450991469
"Himachal Pradesh",2014,146.151666666667,69398,4816082404,334226486672792,0.2,0.697,0.134,0.081,0.828,0.067068,0.577116,11.1476133276358,22.2952266552717,33.4428399829075
"Himachal Pradesh",2015,124.307407407407,74553,5558149809,414376742710377,0.2,0.707,0.128666666666667,0.081,0.828,0.067068,0.585396,11.2192655608319,22.4385311216638,33.6577966824957
"Himachal Pradesh",2018,119.20202020202,93525,8746925625,818056219078125,0.2,0.719,0.128666666666667,0.081,0.828,0.067068,0.595332,11.4459840592163,22.8919681184327,34.337952177649
"Jammu And Kashmir",2000,108.375,13917,193682889,2695484766213,0.322,0.523,0.293,0.035,0.555,0.019425,0.290265,9.54086639341985,19.0817327868397,28.6225991802596
"Jammu And Kashmir",2001,227.25,14185,201214225,2854223781625,0.322,0.531,0.293,0.035,0.555,0.019425,0.294705,9.55994034724295,19.1198806944859,28.6798210417289
"Jammu And Kashmir",2002,235.625,14907,222218649,3312613400643,0.322,0.541,0.293,0.035,0.555,0.019425,0.300255,9.60958618027043,19.2191723605409,28.8287585408113
"Jammu And Kashmir",2003,306.944444444445,15673,245642929,3849961626217,0.322,0.558,0.205,0.035,0.555,0.019425,0.30969,9.65969476565407,19.3193895313081,28.9790842969622
"Jammu And Kashmir",2004,278,23292,542517264,12636312113088,0.322,0.571,0.078,0.132,0.555,0.07326,0.316905,10.055865232957,20.111730465914,30.167595698871
"Jammu And Kashmir",2005,263.666666666667,24371,593945641,14475049216811,0.322,0.583,0.078,0.132,0.555,0.07326,0.323565,10.1011491798356,20.2022983596713,30.3034475395069
"Jammu And Kashmir",2006,223.5,25794,665330436,17161533266184,0.322,0.596,0.078,0.132,0.555,0.07326,0.33078,10.1578971857243,20.3157943714487,30.473691557173
"Jammu And Kashmir",2007,212,27387,750047769,20541558249603,0.322,0.608,0.078,0.132,0.555,0.07326,0.33744,10.2178237272332,20.4356474544664,30.6534711816996
"Jammu And Kashmir",2008,245.888888888889,29102,846926404,24647252209208,0.322,0.617,0.078,0.132,0.555,0.07326,0.342435,10.2785621793202,20.5571243586404,30.8356865379607
"Jammu And Kashmir",2009,262.444444444444,30512,930982144,28406127177728,0.322,0.624,0.022,0.094,0.687,0.064578,0.428688,10.3258753278402,20.6517506556804,30.9776259835206
"Jammu And Kashmir",2010,190.555555555556,32256,1040449536,33560740233216,0.256,0.636,0.022,0.094,0.687,0.064578,0.436932,10.381459351431,20.7629187028621,31.1443780542931
"Jammu And Kashmir",2012,217.982954545455,67316,4531443856,305038674610496,0.256,0.663,0.073,0.104,0.687,0.071448,0.455481,11.117153228833,22.2343064576659,33.3514596864989
"Jammu And Kashmir",2013,312.701388888889,70536,4975327296,350939686150656,0.256,0.666,0.073,0.104,0.687,0.071448,0.457542,11.1638784967669,22.3277569935337,33.4916354903006
"Jammu And Kashmir",2014,212.463888888889,67154,4509659716,302841688568264,0.256,0.673,0.10775,0.104,0.672,0.069888,0.452256,11.1147437683083,22.2294875366166,33.344231304925
"Jammu And Kashmir",2015,170.242647058824,80602,6496682404,523645595127208,0.256,0.677,0.10775,0.104,0.672,0.069888,0.454944,11.2972787420826,22.5945574841653,33.8918362262479
"Jammu And Kashmir",2016,246.948412698413,82636,6828708496,564297155275456,0.256,0.682,0.10775,0.104,0.672,0.069888,0.458304,11.3222006999115,22.644401399823,33.9666020997346
"Jharkhand",2000,240.733333333333,26663,710915569,18955141816247,0.535,0.555,0.0596666666666667,NA,0.536,NA,0.29748,10.1910321155339,20.3820642310678,30.5730963466018
